Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Afghanistan,AFG,..,..,7465114629.45783,8124454291.89637,8239343660.83276,9164598458.53793,9655582953.98019,10990594706.5564,11421973770.8233,13865194314.7185,15856574731.4411,15924179997.7914,17954877146.6564,18960483969.8941,19477070577.8584,19759744157.4377,20206376461.4103,20744935406.0955,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Albania,ALB,6933521382.45219,7508310305.05748,7849187592.90709,8283247666.79486,8739654613.23524,9222957513.34716,9767112006.63463,10351185304.6314,11127524202.4788,11500296263.2618,11926957254.6288,12231094664.6218,12404776208.8595,12528823970.9481,12750584155.2338,13033647123.48,13470274302.1166,13986932578.969,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Algeria,DZA,110423586430.994,113745564598.73,120125920931.173,128777236288.584,134316749131.751,142251902308.528,144648118986.031,149526919452.577,153055956405.236,155554202821.621,161207268655.392,165869166838.539,171466867482.163,176212451150.234,182889354514.369,189772334940.908,196034821993.495,199171379146.415,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,American Samoa,ASM,..,..,623365638.76652,628440528.634361,631823788.546256,629286343.612335,603066079.295154,614907488.986784,598837004.405287,573462555.066079,576000000,577691629.955947,552317180.61674,537092511.013216,542167400.881057,548933920.704846,534555066.079295,505797356.828194,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Andorra,AND,2668012839.88281,2789321202.45229,2969818586.67949,3331207491.64175,3585973903.04456,3851227772.83026,4025933064.029,4027543882.80023,3681577710.754,3545703433.76383,3355695364.23841,3199771534.45741,3148088242.81882,3159158337.77854,3231113955.01675,3258326510.42858,3319880351.13342,3382068237.52481,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Angola,AGO,35998401929.8754,37512494194.4879,42638834053.5688,43913671240.4937,48723474948.0326,56046084738.6307,62518109040.705,71276907517.7744,79235785611.2942,79916193296.1949,83799496611.6049,86708999528.823,94115810020.6707,98778862980.2076,103542597665.682,104519600366.385,101822893038.982,101673002182.778,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Antigua and Barbuda,ATG,1001496498.43775,951881606.627174,961629833.390877,1019884488.65454,1078389759.3889,1147540484.14892,1293605271.42034,1413385625.56558,1412959729.93684,1241885106.24758,1152469068.51852,1128507775.4842,1168080145.02604,1166866906.03994,1221221065.34845,1270384239.04835,1341395404.02289,1382074643.03003,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Argentina,ARG,303229512290.352,289860609223.184,258281789127.305,281106256200.528,306488951656.956,333618311350.415,360465082297.96,392934518437.813,408876787794.809,384677312577.801,423627422092.49,449061807872.401,444452545623.356,455143068397.581,443707073929.401,455825423287.839,447517812725.52,460292057147.949,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Armenia,ARM,4310688308.03982,4722645335.98072,5345387542.90141,6095922452.64277,6734033974.85163,7667755681.51717,8679746345.92189,9873142200.51879,10554389012.5207,9060944166.21841,9260284937.79782,9695518329.74636,10393595649.8063,10736584306.25,11123101341.2749,11479040584.1958,11501998665.3641,12364648565.2664,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Aruba,ABW,2581804607.81403,2505092558.00282,2423084673.45471,2470953856.9732,2666444969.3824,2698824912.71875,2727178946.35418,2776274326.82278,2773756030.74943,2481963897.09079,2390502793.29609,2472880828.36298,2439005748.52239,2541400876.22235,2562957745.21181,2551409422.53889,2546020205.29152,2579895285.13211,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Australia,AUS,848732984009.725,865139889945.946,899771632525.692,926636518197.177,963712223078.423,994457691605.883,1022642934821.49,1061271523267.56,1100090360276.03,1121242097879.43,1144260547872.81,1172307576320.87,1217933084117.14,1250080212993.17,1282061484148.13,1312204498894.69,1349304594617.26,1375718249724.1,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Austria,AUT,336495475309.688,340759446602.411,346387257223.224,349648400806.147,359211698966.039,367272649488.203,379958397501.957,394121024471.145,399876867204.146,384823180705.023,391892746544.69,403346978477.779,406091530301.534,406195100294.014,409561376690.276,414033189912.921,420040461384.701,432789834749.335,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Azerbaijan,AZE,13146538452.8659,14448045759.6996,15979538494.8706,17769246844.1912,19581710093.0734,24751281715.9126,33290473786.6938,41629404406.7868,46113899018.7892,50453518392.5171,52902703376.1056,52937578302.4383,54102205124.8452,57238335961.2495,58383102680.4744,59025316698.5035,57195531761.5917,57252727186.9126,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,"Bahamas, The",BHS,9409627491.5515,9656694580.55466,9917865835.46098,9792432526.23075,9878884030.66906,10214307272.5531,10471385975.1648,10622859247.2052,10375987506.7603,9942763009.20556,10095760000,10157636655.8148,10471171091.7508,10428194408.9434,10412761872.8443,10521571019.7704,10343803831.7942,10492464084.5963,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Bahrain,BHR,15256276507.3657,15636315475.986,16201435104.2376,17177401647.9676,18376546950.2211,19620444333.8462,20889606053.0421,22621864899.6304,24034629395.827,24645054296.3673,25713271276.5957,26223377131.9619,27202099523.9053,28675502255.2549,29922841390.6393,30779223483.5898,31769062885.3112,33003237140.6953,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Bangladesh,BGD,67013463192.5145,70415929567.4442,73115059421.307,76580396941.519,80592852042.2251,85860356477.7026,91588877878.6561,98053769823.2911,103950517391.466,109194950718.059,115279077465.226,122731159566.449,130734992458.51,138596885516.148,146997325017.061,156629549345.307,167771375851.352,179992151721.964,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Barbados,BRB,4122564643.05277,4024556034.32536,4056812032.13438,4144482180.02556,4202791099.14187,4369860626.25525,4617570147.89118,4699037219.28063,4704826757.34891,4517907385.42998,4529900000,4559674767.20833,4572494458.64524,4572907997.07869,4573735073.94559,4615088917.29049,4707721526.38306,4754798741.64689,..
