"Country Name","Country Code","Indicator Name","Indicator Code","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"(SDG) Central/Southern Asia","9CS","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP1.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"(SDG) Central/Southern Asia","9CS","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP1.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"(SDG) Central/Southern Asia","9CS","Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP2.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"(SDG) Central/Southern Asia","9CS","Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP2.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"(SDG) Central/Southern Asia","9CS","Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP1.TO","","","","","","","","","","","","","","","","","","","","","63251000","","","","","57146000","","","","","57440000","","","","","",
"(SDG) Central/Southern Asia","9CS","Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP2.TO","","","","","","","","","","","","","","","","","","","","","38946000","","","","","42387000","","","","","62557000","","","","","",
"(SDG) Central/Southern Asia","9CS","Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure","SH.UHC.OOPC.10.TO","","","","","","","","","","","","","","","","","","","","","174644000","","","","","193229000","","","","","235021000","","","","","",
"(SDG) Central/Southern Asia","9CS","Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure","SH.UHC.OOPC.25.TO","","","","","","","","","","","","","","","","","","","","","31034000","","","","","35691000","","","","","52771000","","","","","",
"(SDG) Central/Southern Asia","9CS","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP1.ZS","","","","","","","","","","","","","","","","","","","","","4.19782515086915","","","","","3.51289302988642","","","","","3.27909289057569","","","","","",
"(SDG) Central/Southern Asia","9CS","Proportion of population pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP2.ZS","","","","","","","","","","","","","","","","","","","","","2.5823330611878","","","","","2.58583315481562","","","","","3.53746572214895","","","","","",
"(SDG) Central/Southern Asia","9CS","Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%)","SH.UHC.OOPC.10.ZS","","","","","","","","","","","","","","","","","","","","","11.5901268138219","","","","","11.7765698188045","","","","","13.2706982025671","","","","","",
"(SDG) Central/Southern Asia","9CS","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%)","SH.UHC.OOPC.25.ZS","","","","","","","","","","","","","","","","","","","","","2.0547819779137","","","","","2.1759379763773","","","","","2.98438819715192","","","","","",
"(SDG) Central/Southern Asia","9CS","UHC service coverage index","SH.UHC.SRVS.CV.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.9565208052018",
"(SDG) Eastern/South Eastern Asia","9ES","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP1.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"(SDG) Eastern/South Eastern Asia","9ES","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP1.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"(SDG) Eastern/South Eastern Asia","9ES","Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP2.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"(SDG) Eastern/South Eastern Asia","9ES","Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP2.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"(SDG) Eastern/South Eastern Asia","9ES","Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP1.TO","","","","","","","","","","","","","","","","","","","","","45043000","","","","","40466000","","","","","22064000","","","","","",
"(SDG) Eastern/South Eastern Asia","9ES","Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP2.TO","","","","","","","","","","","","","","","","","","","","","38682000","","","","","50384000","","","","","38448000","","","","","",
"(SDG) Eastern/South Eastern Asia","9ES","Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure","SH.UHC.OOPC.10.TO","","","","","","","","","","","","","","","","","","","","","193131000","","","","","270107000","","","","","279505000","","","","","",
"(SDG) Eastern/South Eastern Asia","9ES","Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure","SH.UHC.OOPC.25.TO","","","","","","","","","","","","","","","","","","","","","43446000","","","","","70182000","","","","","72989000","","","","","",
"(SDG) Eastern/South Eastern Asia","9ES","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP1.ZS","","","","","","","","","","","","","","","","","","","","","2.26341721400178","","","","","1.95367686377563","","","","","1.0290588800733","","","","","",
"(SDG) Eastern/South Eastern Asia","9ES","Proportion of population pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP2.ZS","","","","","","","","","","","","","","","","","","","","","1.94275770220957","","","","","2.43208258096335","","","","","1.79424136913658","","","","","",
"(SDG) Eastern/South Eastern Asia","9ES","Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%)","SH.UHC.OOPC.10.ZS","","","","","","","","","","","","","","","","","","","","","9.72918465031159","","","","","13.0328585450145","","","","","13.0225935698995","","","","","",
"(SDG) Eastern/South Eastern Asia","9ES","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%)","SH.UHC.OOPC.25.ZS","","","","","","","","","","","","","","","","","","","","","2.18347308349232","","","","","3.38985810311073","","","","","3.40046063707639","","","","","",
"(SDG) Eastern/South Eastern Asia","9ES","UHC service coverage index","SH.UHC.SRVS.CV.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.4777317002945",
